iter	Passed	Remaining
822	990	213
823	992	211
824	994	210
825	996	209
826	1000	209
827	1001	208
828	1004	207
829	1006	206
830	1007	204
831	1010	204
832	1013	203
833	1018	202
834	1022	201
835	1031	202
836	1033	201
837	1034	200
838	1036	198
839	1040	198
840	1047	198
841	1049	196
842	1051	195
843	1053	194
844	1059	194
845	1062	193
846	1063	192
847	1067	191
848	1073	190
849	1077	190
850	1078	188
851	1080	187
852	1083	186
853	1089	186
854	1091	185
855	1093	183
856	1095	182
857	1097	181
858	1100	180
859	1103	179
860	1105	178
861	1108	177
862	1111	176
863	1113	175
864	1117	174
865	1119	173
866	1120	171
867	1122	170
868	1124	169
869	1131	169
870	1136	168
871	1142	167
872	1144	166
873	1146	165
874	1148	164
875	1153	163
876	1155	162
877	1157	160
878	1160	159
879	1161	158
880	1162	157
881	1164	155
882	1169	155
883	1174	154
884	1176	152
885	1182	152
886	1185	151
887	1190	150
888	1197	149
889	1202	148
890	1204	147
891	1206	146
892	1214	145
893	1227	145
894	1230	144
895	1233	143
896	1236	141
897	1237	140
898	1243	139
899	1245	138
900	1246	137
901	1248	135
902	1251	134
903	1255	133
904	1258	132
905	1262	131
906	1265	129
907	1268	128
908	1271	127
909	1273	125
910	1279	125
911	1280	123
912	1283	122
913	1286	121
914	1289	119
915	1290	118
916	1291	116
917	1292	115
918	1293	114
919	1294	112
920	1295	111
921	1298	109
922	1301	108
923	1303	107
924	1304	105
925	1306	104
926	1307	102
927	1308	101
928	1309	100
929	1312	98
930	1318	97
931	1320	96
932	1323	95
933	1325	93
934	1328	92
935	1331	91
936	1334	89
937	1335	88
938	1335	86
939	1337	85
940	1338	83
941	1340	82
942	1343	81
943	1344	79
944	1347	78
945	1348	76
946	1349	75
947	1350	74
948	1352	72
949	1353	71
950	1354	69
951	1357	68
952	1360	67
953	1362	65
954	1363	64
955	1364	62
956	1364	61
957	1365	59
958	1366	58
959	1367	56
960	1368	55
961	1372	54
962	1374	52
963	1376	51
964	1377	49
965	1379	48
966	1380	47
967	1381	45
968	1382	44
969	1385	42
970	1391	41
971	1392	40
972	1393	38
973	1394	37
974	1394	35
975	1395	34
976	1396	32
977	1397	31
978	1399	30
979	1403	28
980	1404	27
981	1405	25
982	1406	24
983	1407	22
984	1408	21
985	1409	20
986	1410	18
987	1411	17
988	1413	15
989	1416	14
990	1417	12
991	1419	11
992	1420	10
993	1423	8
994	1424	7
995	1425	5
996	1426	4
997	1426	2
998	1428	1
999	1431	0
